cntr_01,dist_x,pang_x,ra_01,dec_01,cntr,object,ra,dec,unc_ra,unc_dec,tile,flux_ap2_36,uncf_ap2_36,flux_kr_36,uncf_kr_36,stell_36,flgs_36,ext_fl_36,flux_ap2_45,uncf_ap2_45,flux_kr_45,uncf_kr_45,stell_45,flgs_45,ext_fl_45,flux_ap2_58,uncf_ap2_58,flux_kr_58,uncf_kr_58,stell_58,flgs_58,ext_fl_58,flux_ap2_80,uncf_ap2_80,flux_kr_80,uncf_kr_80,stell_80,flgs_80,ext_fl_80,flux_ap2_24,uncf_ap2_24,flux_kr_24,uncf_kr_24,stell_24,flgs_24,ext_fl_24,ap_m_u,msig_u,ap_m_g,msig_g,ap_m_r,msig_r,ap_m_i,msig_i,ap_m_z,msig_z
1,0.147536,12.568907,5.3319700000E+01,-2.6896300000E+01,227561,SWIRE3_J033316.73-265346.5,53.31971,-26.89626,9.40E-03,9.94E-03,24,138.68,1.73,159.39,1.67,0.48,CA3,1,115.05,1.68,127.00,1.94,0.90,CA0,0,147.20,5.87,127.58,6.05,0.16,CA0,0,115.06,5.27,93.59,6.08,0.57,CA0,0,452.42,22.08,600.32,25.61,0.56,CA0,0,null,null,null,null,null,null,null,null,null,null
1,7.681056,-79.195113,5.3319700000E+01,-2.6896300000E+01,227581,SWIRE3_J033316.16-265345.2,53.31735,-26.89590,1.89E-02,2.32E-02,24,26.97,0.85,35.09,1.14,0.16,CA3,0,21.27,1.00,27.79,1.37,0.60,CA0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,8.927746,140.734369,5.3319700000E+01,-2.6896300000E+01,227462,SWIRE3_J033317.15-265353.5,53.32146,-26.89822,1.67E-02,2.98E-02,24,34.48,0.78,56.38,1.08,0.01,CA3,0,19.55,0.99,37.77,1.68,0.21,CA3,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,9.324575,-114.157774,5.3319700000E+01,-2.6896300000E+01,227506,SWIRE3_J033316.09-265350.4,53.31705,-26.89736,1.76E-02,2.00E-02,24,38.43,0.85,39.44,0.93,0.96,CA2,0,27.94,1.09,39.24,1.75,0.34,CA0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,13.736728,153.337590,5.3319700000E+01,-2.6896300000E+01,227394,SWIRE3_J033317.18-265358.9,53.32162,-26.89971,2.37E-02,2.57E-02,24,19.37,0.61,16.94,0.56,0.86,CA3,0,14.61,0.94,13.35,1.07,0.60,CA3,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,14.611546,84.487058,5.3319700000E+01,-2.6896300000E+01,227580,SWIRE3_J033317.81-265345.2,53.32423,-26.89591,2.01E-02,2.43E-02,24,18.66,0.66,17.82,0.69,0.89,CA3,0,18.19,0.97,18.32,1.13,0.52,CA3,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,15.623733,76.407852,5.3319700000E+01,-2.6896300000E+01,227600,SWIRE3_J033317.86-265343.0,53.32443,-26.89528,2.33E-02,1.77E-02,24,20.73,0.69,19.39,0.70,0.66,CA3,0,28.07,1.07,28.40,1.25,0.65,CA3,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,475.30,22.37,481.12,24.96,0.57,CA0,0,null,null,null,null,null,null,null,null,null,null
1,16.876522,-105.719503,5.3319700000E+01,-2.6896300000E+01,227492,SWIRE3_J033315.51-265351.2,53.31464,-26.89757,2.49E-02,2.92E-02,24,13.35,0.61,12.89,0.67,0.31,CA3,0,15.10,0.94,19.94,1.41,0.34,CA0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,20.391970,-97.303981,5.3319700000E+01,-2.6896300000E+01,227524,SWIRE3_J033315.21-265349.2,53.31340,-26.89702,1.32E-02,1.23E-02,24,71.69,1.10,66.61,1.00,0.97,CA2,0,49.86,1.26,46.14,1.31,0.88,CA0,0,49.16,4.94,39.10,4.56,0.44,CA0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,23.986732,-175.240072,5.3319700000E+01,-2.6896300000E+01,227243,SWIRE3_J033316.57-265410.5,53.31908,-26.90294,1.03E-02,1.30E-02,24,71.29,0.85,60.13,0.68,0.96,CA3,0,60.97,1.37,68.66,1.63,0.22,CA3,0,62.17,4.11,52.01,4.26,0.06,CA2,0,null,null,null,null,null,null,null,435.44,22.05,295.31,19.19,0.29,CA0,0,null,null,null,null,null,null,null,null,null,null
1,24.236762,-168.617109,5.3319700000E+01,-2.6896300000E+01,227247,SWIRE3_J033316.37-265410.4,53.31821,-26.90290,1.05E-02,1.21E-02,24,95.88,1.01,97.10,0.91,0.95,CA3,0,68.80,1.39,65.82,1.35,0.96,CA3,0,61.17,4.10,56.67,4.72,0.03,CA2,0,76.22,5.17,87.85,7.64,0.06,CA0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,25.024777,-136.353962,5.3319700000E+01,-2.6896300000E+01,227323,SWIRE3_J033315.43-265404.7,53.31432,-26.90133,2.76E-02,2.78E-02,24,16.25,0.53,14.60,0.51,0.10,CA0,0,13.93,0.93,13.92,1.13,0.03,CA0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,25.230964,-68.665526,5.3319700000E+01,-2.6896300000E+01,227671,SWIRE3_J033314.97-265337.5,53.31238,-26.89375,1.05E-02,1.21E-02,24,112.01,1.52,119.55,1.44,0.61,CA0,0,74.42,1.44,77.91,1.46,0.58,CA0,0,85.87,5.35,69.03,5.37,0.63,CA0,0,null,null,null,null,null,null,null,493.18,22.25,438.36,24.67,0.53,CA0,0,null,null,null,null,null,null,null,null,null,null
1,28.466850,173.719739,5.3319700000E+01,-2.6896300000E+01,227182,SWIRE3_J033316.96-265414.9,53.32067,-26.90416,4.36E-02,4.36E-02,24,16.76,0.49,41.20,1.50,0.01,CA3,0,11.16,0.97,13.77,1.26,0.03,CA1,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,30.157989,164.692556,5.3319700000E+01,-2.6896300000E+01,227174,SWIRE3_J033317.32-265415.7,53.32218,-26.90438,2.58E-02,3.16E-02,24,16.12,0.48,16.16,0.58,0.07,CA2,0,17.06,0.99,18.00,1.30,0.04,CA0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,30.555876,143.809594,5.3319700000E+01,-2.6896300000E+01,227233,SWIRE3_J033318.07-265411.3,53.32532,-26.90315,1.94E-02,2.00E-02,24,29.61,0.58,26.72,0.55,0.86,CA0,0,27.28,0.95,24.97,1.07,0.91,CA0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
