cntr_01,dist_x,pang_x,ra_01,dec_01,cntr,object,ra,dec,unc_ra,unc_dec,tile,flux_ap2_36,uncf_ap2_36,flux_kr_36,uncf_kr_36,stell_36,flgs_36,ext_fl_36,flux_ap2_45,uncf_ap2_45,flux_kr_45,uncf_kr_45,stell_45,flgs_45,ext_fl_45,flux_ap2_58,uncf_ap2_58,flux_kr_58,uncf_kr_58,stell_58,flgs_58,ext_fl_58,flux_ap2_80,uncf_ap2_80,flux_kr_80,uncf_kr_80,stell_80,flgs_80,ext_fl_80,flux_ap2_24,uncf_ap2_24,flux_kr_24,uncf_kr_24,stell_24,flgs_24,ext_fl_24,ap_m_b,msig_b,ap_m_v,msig_v,ap_m_r,msig_r,kr_m_b,kr_m_v,kr_m_r,stell_b,stell_v,stell_r
1,0.167998,49.994259,9.7627,-44.3645,149508,SWIRE3_J003903.06-442152.0,9.76275,-44.36447,0.0109,0.0121,21,156.18,1.83,208.51,2.09,0.03,CA3,2,97.76,1.71,129.65,2.43,0.02,CA0,0,89.08,5.3,95.78,6.54,0.0,CA0,0.0,76.88,5.66,79.53,6.22,0.4,CA0,0.0,-99.0,-99.0,-99.0,-99.0,-9.0,,-99.0,,,,,,,,,,,,
1,8.212764,-94.778524,9.7627,-44.3645,149605,SWIRE3_J003902.28-442152.8,9.75952,-44.36469,0.017,0.0188,21,34.06,0.97,32.9,0.98,0.91,CA3,0,40.83,1.29,54.27,1.93,0.18,CA1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8.822784,-131.690597,9.7627,-44.3645,149621,SWIRE3_J003902.43-442158.0,9.76014,-44.36613,0.0198,0.0204,21,28.47,0.89,28.16,0.98,0.77,CA3,0,32.54,1.19,30.93,1.46,0.93,CA0,0,,,,,,,,,,,,,,,-99.0,-99.0,-99.0,-99.0,-9.0,,-99.0,,,,,,,,,,,,
1,9.696046,110.882583,9.7627,-44.3645,149431,SWIRE3_J003903.89-442155.6,9.76622,-44.36546,0.0217,0.0234,21,41.74,0.96,63.69,1.38,0.02,CA3,0,27.43,1.08,53.89,2.24,0.0,CA0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11.154983,72.341788,9.7627,-44.3645,149378,SWIRE3_J003904.03-442148.8,9.76683,-44.36356,0.0316,0.0168,21,38.9,0.99,65.74,1.55,0.25,CA3,0,28.58,0.99,47.6,1.93,0.08,CA1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18.350415,61.40288,9.7627,-44.3645,149289,SWIRE3_J003904.55-442143.4,9.76896,-44.36206,0.0248,0.0186,21,38.82,1.0,45.92,1.27,0.66,CA3,0,31.08,0.98,33.37,1.37,0.63,CA0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19.834148,119.4665,9.7627,-44.3645,149387,SWIRE3_J003904.65-442201.9,9.76941,-44.36721,0.0289,0.0342,21,15.54,0.64,14.2,0.64,0.09,CA0,0,11.76,0.76,12.8,1.1,0.17,CA0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23.453659,-133.689733,9.7627,-44.3645,149784,SWIRE3_J003901.46-442208.3,9.75611,-44.369,0.0225,0.0248,21,28.74,0.81,32.83,1.06,0.85,CA0,0,16.79,1.12,13.5,0.97,0.63,CA0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24.342503,-36.007946,9.7627,-44.3645,149539,SWIRE3_J003901.71-442132.5,9.75714,-44.35903,0.0166,0.0188,21,29.92,0.9,25.75,0.83,0.7,CA0,0,25.24,1.15,21.02,1.14,0.83,CA0,0,,,,,,,,50.69,5.7,28.0,3.94,0.47,CA0,0.0,,,,,,,,,,,,,,,,,,,
1,24.693859,35.564448,9.7627,-44.3645,149245,SWIRE3_J003904.38-442132.1,9.76828,-44.35892,0.0271,0.0294,21,18.54,0.71,18.39,0.8,0.87,CA0,0,8.96,0.83,14.93,1.2,0.35,CA0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25.430005,166.898655,9.7627,-44.3645,149609,SWIRE3_J003903.58-442216.9,9.76494,-44.37138,0.0303,0.031,21,15.62,0.61,14.65,0.72,0.18,CA0,0,9.41,0.91,11.21,1.17,0.06,CA0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25.479279,-89.922507,9.7627,-44.3645,149766,SWIRE3_J003900.67-442152.1,9.7528,-44.36449,0.0197,0.0261,21,37.46,0.99,71.05,2.23,0.17,CA3,0,23.49,1.12,23.92,1.44,0.74,CA0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
