cntr_01,dist_x,pang_x,ra_01,dec_01,cntr,object,ra,dec,unc_ra,unc_dec,tile,flux_ap2_36,uncf_ap2_36,flux_kr_36,uncf_kr_36,stell_36,flgs_36,ext_fl_36,flux_ap2_45,uncf_ap2_45,flux_kr_45,uncf_kr_45,stell_45,flgs_45,ext_fl_45,flux_ap2_58,uncf_ap2_58,flux_kr_58,uncf_kr_58,stell_58,flgs_58,ext_fl_58,flux_ap2_80,uncf_ap2_80,flux_kr_80,uncf_kr_80,stell_80,flgs_80,ext_fl_80,flux_ap2_24,uncf_ap2_24,flux_kr_24,uncf_kr_24,stell_24,flgs_24,ext_fl_24
1,0.339495,148.029161,36.0999,-2.96742,118144,SWIRE2_J022423.98-025802.9,36.09995,-2.9675,0.0108,0.0112,14,103.46,1.17,99.74,1.18,0.48,CA0,0,92.55,1.35,90.76,1.58,0.14,CA0,0,67.36,4.95,57.8,6.46,0.02,CA0,0.0,60.67,5.31,54.87,4.76,0.46,CA0,0.0,,,,,,,
1,6.319824,16.86546,36.0999,-2.96742,118211,SWIRE2_J022424.09-025756.6,36.10041,-2.96574,0.0258,0.0244,14,25.23,0.71,32.38,1.06,0.1,CA3,0,21.11,0.94,24.89,1.35,0.11,CA3,0,,,,,,,,,,,,,,,,,,,,,
1,7.176898,-43.336702,36.0999,-2.96742,118230,SWIRE2_J022423.64-025757.4,36.09853,-2.96597,0.0195,0.0188,14,30.77,0.75,39.35,1.27,0.14,CA0,0,38.58,1.06,31.45,1.21,0.34,CA0,0,52.19,5.05,58.71,5.16,0.37,CA0,0.0,,,,,,,,,,,,,,
1,7.944515,146.489343,36.0999,-2.96742,118049,SWIRE2_J022424.26-025809.3,36.10112,-2.96926,0.0273,0.0303,14,15.27,0.61,12.92,0.57,0.8,CA0,0,9.49,0.85,6.83,0.55,0.49,CA0,0,,,,,,,,,,,,,,,,,,,,,
1,10.59602,15.951846,36.0999,-2.96742,118254,SWIRE2_J022424.17-025752.5,36.10071,-2.96459,0.0139,0.0141,14,90.16,1.13,104.83,1.3,0.08,CA3,0,60.58,1.17,71.11,1.61,0.44,CA3,0,-99.0,-99.0,-99.0,-99.0,-9.0,,-99.0,,,,,,,,,,,,,,
1,10.817384,68.526169,36.0999,-2.96742,118152,SWIRE2_J022424.64-025758.7,36.1027,-2.96632,0.0267,0.0248,14,17.79,0.63,17.08,0.84,0.55,CA0,0,15.19,0.89,16.79,1.16,0.5,CA0,0,,,,,,,,,,,,,,,,,,,,,
1,11.788009,37.14778,36.0999,-2.96742,118228,SWIRE2_J022424.45-025753.3,36.10188,-2.96481,0.0162,0.0158,14,65.13,0.98,76.38,1.16,0.04,CA3,0,46.41,1.09,61.7,1.78,0.31,CA3,0,,,,,,,,,,,,,,,,,,,,,
1,15.002946,176.565494,36.0999,-2.96742,117980,SWIRE2_J022424.03-025817.6,36.10015,-2.97158,0.0206,0.022,14,30.94,0.74,27.5,0.72,0.97,CA0,0,21.1,1.0,17.25,0.91,0.54,CA0,0,,,,,,,,,,,,,,,,,,,,,
1,15.39615,61.966604,36.0999,-2.96742,118174,SWIRE2_J022424.88-025755.4,36.10368,-2.96541,0.0436,0.0378,14,10.42,0.59,16.59,1.07,0.01,CA1,0,9.62,0.86,16.51,1.25,0.38,CA0,0,,,,,,,,,,,,,,,,,,,,,
1,15.96098,-28.670979,36.0999,-2.96742,118354,SWIRE2_J022423.46-025748.7,36.09777,-2.96353,0.0258,0.0262,14,18.14,0.65,16.36,0.92,0.19,CA0,0,10.06,0.87,7.47,0.68,0.55,CA0,0,,,,,,,,,,,,,,,,,,,,,
