id,MH,z,Re,n,mstar,stellar_mass,stellar_mass_err,Re_kpc,rest_wave,median_SFR
ALESS1.1,-24.9,4.34,0.16,1.7,11.01+/-0.06,11.005700000000001,0.06387519080206336,1.0738855654847272,0.16292134831460675,500
ALESS1.2,-24.79,4.65,0.23,2.4,10.96+/-0.06,10.962470000000001,0.06370381778198227,1.4958809140093767,0.15398230088495574,500
ALESS3.1,-25.51,3.9,0.24,1.4,11.25+/-0.06,11.245430000000002,0.06483085993568187,1.6855341904395675,0.17755102040816326,500
ALESS5.1,-25.71,2.86,0.26,0.7,11.32+/-0.07,11.324030000000002,0.0651461157706275,2.030037024163334,0.22538860103626943,500
ALESS9.1,-25.98,4.5,0.23,0.7,11.43+/-0.07,11.430140000000002,0.06557317744321987,1.5187456175821112,0.15818181818181817,500
ALESS10.1,-23.57,2.02,0.39,1.0,10.48+/-0.06,10.483010000000002,0.06182377859691205,3.2604841944914953,0.28807947019867547,500
ALESS15.1,-23.94,1.93,0.31,0.9,10.63+/-0.06,10.628420000000002,0.06238985815018336,2.6038701062426166,0.2969283276450512,500
ALESS17.1,-24.46,1.51,0.2,0.5,10.83+/-0.06,10.832780000000001,0.06319150575829002,1.6926695125692997,0.3466135458167331,500
ALESS29.1,-24.78,2.66,0.16,0.7,10.96+/-0.06,10.958540000000001,0.06368825323401482,1.2730305834385833,0.23770491803278687,500
ALESS39.1,-24.74,2.44,0.27,1.2,10.94+/-0.06,10.942820000000001,0.0636260198346557,2.1902148023277928,0.25290697674418605,500
ALESS45.1,-24.77,2.34,0.26,0.5,10.95+/-0.06,10.95461,0.06367269116348076,2.1263344097935226,0.26047904191616766,500
ALESS67.1,-25.35,2.14,0.25,1.2,11.18+/-0.06,11.18255,0.06457933105878381,2.074644839755497,0.2770700636942675,500
ALESS73.1,-25.61,5.18,0.2,1.0,11.28+/-0.06,11.284730000000001,0.06498837126748139,1.2341747181778466,0.1407766990291262,500
ALESS112.1,-24.67,1.95,0.22,0.5,10.92+/-0.06,10.915310000000002,0.06351720711744181,1.8461098757066137,0.2949152542372881,500
