name,class_x,model,mag,mean_sb,re,n,b/a,pa,align,ra,dec,z,class_y,inst,filter,scale,color,M200,e_M200
Cl0016+1609,1,Sersic,999.99,99.999,99.999,9.99,9.99,999,99,4.64,16.4378,0.5455,1,ACS_WFC,F850LP,2.83,F606W-F775W,25.76,6.66
XDCPJ0044-2033,1,Sersic,-25.073,23.119,12.944,3.39,0.36,11,63,11.0236,-20.5651,1.59,1,WFC3_IR,F160W,8.42,F105W-F140W,3.98,1.58
CLJ0152-1357,1,Sersic,-24.859,23.471,21.802,3.59,0.7,49,99,28.1649,-13.9739,0.87,1,WFC3_IR,F105W,7.681,F775W-F850LP,14.0,4.6
CLJ015244.18-135715.84,2,Sersic,-24.378,22.698,12.74,4.24,0.75,42,99,28.182,-13.9552,0.84,2,WFC3_IR,F105W,7.598,F625W-F850LP,14.0,4.6
CLJ015244.18-135715.84,2,Sersic,-24.378,22.698,12.74,4.24,0.75,42,99,28.1824,-13.9555,0.84,1,WFC3_IR,F105W,7.598,F625W-F850LP,14.0,4.6
CLJ015244.18-135715.84,1,Sersic,-24.478,22.343,11.331,7.96,1.0,10,99,28.182,-13.9552,0.84,2,WFC3_IR,F105W,7.598,F625W-F850LP,14.0,4.6
CLJ015244.18-135715.84,1,Sersic,-24.478,22.343,11.331,7.96,1.0,10,99,28.1824,-13.9555,0.84,1,WFC3_IR,F105W,7.598,F625W-F850LP,14.0,4.6
RCSJ0220-0333,1,Sersic,-24.511,23.111,10.804,4.08,0.75,24,64,35.2316,-3.5633,1.03,1,ACS_WFC,F850LP,8.024,F775W-F850LP,4.8,1.3
RCSJ0221-0321,1,Sersic,-23.916,22.257,5.667,0.88,0.61,111,63,35.4299,-3.3542,1.016,1,ACS_WFC,F850LP,8.0,F775W-F850LP,1.8,0.7
RCSJ0221-0321,1,Sersic,-23.916,22.257,5.667,0.88,0.61,111,63,35.4369,-3.3678,1.016,2,ACS_WFC,F850LP,8.0,F775W-F850LP,1.8,0.7
RCSJ0221-0321,2,Sersic,-24.566,23.098,11.261,5.43,0.74,21,27,35.4299,-3.3542,1.016,1,ACS_WFC,F850LP,8.0,F775W-F850LP,1.8,0.7
RCSJ0221-0321,2,Sersic,-24.566,23.098,11.261,5.43,0.74,21,27,35.4369,-3.3678,1.016,2,ACS_WFC,F850LP,8.0,F775W-F850LP,1.8,0.7
XLSSJ0223-0436,1,Sersic,-24.675,23.103,8.146,4.52,0.74,47,69,35.7636,-4.6043,1.22,1,ACS_WFC,F850LP,8.269,F775W-F850LP,7.4,1.8
SpARCS-J0224,1,Sersic,-24.905,18.918,1.682,2.87,0.64,128,99,36.1092,-3.3929,1.63,1,WFC3_IR,F160W,8.419,F105W-F140W,0.36,0.14
SpARCS-J0330,1,Sersic,-25.891,24.187,30.167,5.43,0.67,9,34,52.733,-28.7166,1.626,1,WFC3_IR,F160W,8.42,F105W-F140W,2.04,1.39
RCS0337-2844,1,Sersic,-24.102,23.468,9.433,4.21,0.72,114,99,54.4539,-28.7517,1.1,1,ACS_WFC,F850LP,8.132,F775W-F850LP,4.9,1.7
RCS0439-2904,1,Sersic,-24.625,23.598,15.81,5.81,0.77,112,99,69.9072,-29.0839,0.97,1,ACS_WFC,F850LP,7.913,F814W-F850LP,4.3,1.2
SPT-CLJ0533-5005,1,Sersic,-24.463,23.344,12.609,6.03,0.76,149,72,83.4035,-50.0957,0.881,1,ACS_WFC,F814W,7.709,F606W-F814W,5.88,1.57
SPT-CLJ0546-5345,1,Sersic,-25.154,25.904,31.178,8.1,0.78,105,27,86.657,-53.7586,1.16,1,ACS_WFC,F814W,8.207,,7.61,1.61
SPT-CLJ0615-5746,1,Sersic,-26.055,23.471,37.3,4.46,0.66,19,49,93.9657,-57.7801,0.972,1,WFC3_IR,F125W,7.917,F814W-F105W,16.32,3.26
RDCSJ0910+5422,1,Sersic,-24.369,24.853,19.696,8.36,0.78,18,13,137.6915,54.3687,1.11,1,ACS_WFC,F850LP,8.146,F775W-F850LP,5.0,1.0
MOOJ1014+0038,1,Sersic,-25.528,23.814,26.754,3.3,0.68,52,13,153.5304,0.6408,1.27,1,WFC3_IR,F140W,8.31,F105W-F125W,5.6,0.6
LCDCS0130,1,Sersic,-24.316,24.52,28.215,7.59,0.92,169,99,160.1678,-11.9345,0.7043,1,ACS_WFC,F814W,7.137,,0.6,0.2
SpARCS-J1049,1,Sersic,-26.55,24.782,51.065,7.63,0.94,85,99,162.3441,56.6754,1.7,1,WFC3_IR,F160W,8.412,F105W-F160W,3.47,1.25
MS1054-0321,1,Sersic,-25.802,24.494,50.904,6.37,0.62,43,99,164.2496,-3.6265,0.83,1,ACS_WFC,F850LP,7.569,F775W-F850LP,10.8,1.8
RCS1107-05,1,Sersic,-25.196,24.795,40.238,5.37,0.65,66,99,166.8505,-5.3862,0.794,1,ACS_WFC,F814W,7.459,,99.9,99.9
RCS1107-05,1,Sersic,-25.196,24.795,40.238,5.37,0.65,66,99,166.9754,-5.2778,0.579,1,ACS_WFC,F814W,6.554,,99.9,99.9
