Galaxy ID,Ks,ae,n,epsilon,stellar_mass,z,R.A.,Dec.,Spec.
11051619,16.75,0.9,3.6,0.38,11.94,0.46,214.258865,52.399944,0
12004106,17.13,0.8,6.72,0.11,26.72,0.74,214.37973,52.443295,1
12004308,16.95,0.89,1.23,0.58,18.03,0.64,214.266815,52.412926,0
12004443,17.06,0.48,5.04,0.21,26.96,0.77,214.318298,52.429092,1
12004485,17.59,0.49,2.27,0.6,13.2,0.68,214.3172,52.43425,1
12004493,17.62,0.26,2.19,0.54,11.28,0.63,214.249069,52.427074,1
12004496,16.52,0.96,3.83,0.17,23.86,0.49,214.313721,52.425831,0
12004511,17.31,0.52,4.3,0.15,14.87,0.55,214.274643,52.413155,0
12007872,17.7,1.21,0.35,0.63,13.47,0.8,214.427551,52.479439,0
12007915,16.88,0.88,3.81,0.48,13.3,0.66,214.425552,52.507122,1
12007942,16.72,0.69,4,0.37,20.88,0.54,214.438934,52.485764,0
12008154,16.91,1.82,0.72,0.77,11.43,0.48,214.407578,52.483036,0
12008184,17.37,0.93,3.32,0.47,27.07,0.75,214.387024,52.493938,0
12008228,17.74,0.23,4.46,0.82,13.19,0.74,214.350021,52.503574,0
12008254,17.35,0.58,5.46,0.34,21.51,0.74,214.352905,52.479752,1
12008260,16.87,0.26,5.25,0.34,13.46,0.53,214.33255,52.47337,1
12008288,17.46,0.67,1.89,0,10.26,0.75,214.418991,52.453823,1
12008605,17.24,0.46,6.61,0.39,17.21,0.64,214.286697,52.455635,1
12008914,17.45,0.41,0.88,0.12,13.51,0.78,214.207413,52.49781,1
12011780,17.11,1.23,2.45,0.48,23.93,0.72,214.537003,52.535271,0
12011900,17.92,0.7,7.76,0.58,11.32,0.72,214.545242,52.516075,1
12011905,17.05,0.93,2.43,0.66,14.68,0.72,214.537323,52.512096,1
12011906,17.09,0.94,6.66,0.24,23.81,0.69,214.527252,52.511642,0
12011907,16.33,0.45,3.54,0.54,27.55,0.55,214.566345,52.510162,1
12012180,17.47,0.45,5.48,0.33,18.72,0.7,214.450867,52.521576,0
12012224,17.16,0.26,4.5,0.61,12.56,0.55,214.488632,52.535454,0
12012359,17.27,0.57,8.65,0.32,10.24,0.55,214.345551,52.566929,1
12012504,15.77,2.4,3.71,0.66,14.23,0.33,214.330765,52.560184,1
12012539,17.21,0.48,9.56,0.69,18.23,0.63,214.387344,52.567089,0
12012566,16.73,1.17,4.92,0.06,13.04,0.48,214.351395,52.537338,1
12012596,18.15,0.37,4.2,0.18,11.13,0.75,214.405334,52.511482,0
12012829,17.07,1.05,6.58,0.24,23.88,0.74,214.309052,52.509697,1
12015451,17.17,1.07,5.5,0.42,16.83,0.71,214.65683,52.619644,1
12016013,17.38,0.59,4.45,0.33,13,0.64,214.576859,52.617817,1
12016021,17.25,0.45,5.27,0.3,20.59,0.71,214.568893,52.610954,1
12016022,17.55,0.71,1.98,0.52,10.53,0.73,214.590088,52.609844,0
12016025,17.52,0.32,4.97,0.26,14.3,0.72,214.606812,52.607368,1
12016031,16.34,0.92,6.29,0.17,23.92,0.53,214.586807,52.60305,0
12016054,17.27,0.7,4.48,0.32,16.07,0.68,214.527649,52.584972,1
12016232,16.82,0.65,5.61,0.1,36.19,0.72,214.474869,52.583729,0
12016360,16.61,1.19,4.39,0.29,35.19,0.68,214.475189,52.582329,1
12016405,16.73,0.83,7.3,0.06,29.13,0.68,214.472549,52.594296,1
12016415,16.76,0.7,4.4,0.22,29.63,0.69,214.495941,52.587372,1
12016429,16.84,0.63,5.72,0.19,26.74,0.68,214.471405,52.578007,1
12016431,17.03,1.44,6.91,0.28,24.92,0.72,214.486282,52.576241,1
12016434,17.33,0.54,4.6,0.69,15.6,0.63,214.474503,52.573132,0
12016736,17.19,1.61,2.46,0.37,19.32,0.75,214.362976,52.58606,1
12016750,16.53,0.64,0.38,0.49,36.98,0.72,214.402267,52.619942,1
12016769,17.55,0.37,5.5,0.66,12.05,0.61,214.400314,52.598499,1
12016794,16.85,0.82,7.24,0.07,21.91,0.61,214.39064,52.576633,1
12016795,16.6,1.14,2,0,18.89,0.48,214.396835,52.576443,1
12019603,17.5,0.34,6.73,0.38,13.17,0.68,214.754395,52.666267,1
12019630,16.9,1.53,7.9,0.67,16.41,0.55,214.725418,52.624977,0
12019648,16.66,0.79,3.38,0.26,33.78,0.61,214.749405,52.667866,0
12019651,15.75,1.35,5.04,0.45,10.94,0.26,214.783722,52.664688,1
12019914,16.98,1.06,3.35,0.45,12.45,0.57,214.63739,52.675789,1
12019978,17.69,0.46,5.11,0.76,11.51,0.73,214.635406,52.671951,1
12020007,17.56,0.96,1.56,0.54,10.8,0.72,214.698196,52.678497,1
12020010,16.46,1.04,6.3,0.3,25.39,0.57,214.646194,52.676014,1
12020028,16.06,2.09,5.79,0.37,37.69,0.57,214.622604,52.662529,1
12020055,17.66,0.79,8.47,0.17,11.73,0.72,214.645798,52.643513,1
12020071,15.67,0.89,6.3,0.18,11.24,0.28,214.669418,52.629234,1
12020427,15.66,1.73,7.14,0.34,10.21,0.26,214.558884,52.652359,1
12020437,16.81,0.74,5.28,0.52,11.42,0.58,214.59494,52.639263,1
12020644,17.54,0.51,3,0.7,18.87,0.8,214.505859,52.666767,0
12020977,16.67,0.33,4.66,0.48,33.85,0.71,214.392441,52.626907,0
12021111,17.57,0.79,7.27,0.54,12.97,0.72,214.396576,52.641594,1
12021122,17.45,0.78,6.74,0.49,17.79,0.79,214.392303,52.634354,0
12021129,16.88,1,7.06,0.32,27.69,0.72,214.401398,52.630344,1
12021130,16.27,0.48,4.4,0.23,11.27,0.35,214.390945,52.62957,1
12023748,17.14,1.15,1.12,0.28,24.04,0.71,214.820892,52.694717,0
12023760,15.44,1.11,4.9,0.54,12.94,0.26,214.811844,52.686749,1
12024049,17.2,1.33,1.87,0.49,15.44,0.7,214.76712,52.729439,0
12024057,17.89,0.27,4.16,0.64,10.76,0.74,214.74437,52.712826,1
12024059,16.74,1.96,1,0.83,13.22,0.47,214.802017,52.710606,0
12024104,16.73,0.8,8.39,0.23,11.18,0.45,214.750381,52.713604,1
12024134,16.79,0.63,2.49,0.27,15.12,0.55,214.756668,52.68597,1
12024284,16.4,1.06,7.01,0.09,18.93,0.46,214.638046,52.731194,1
12024503,16.59,0.62,2.2,0.44,30.37,0.64,214.616669,52.702118,1
12024878,17.39,0.57,7.27,0.31,20.18,0.78,214.606125,52.739265,1
12024925,17.28,0.61,2.93,0.32,20.82,0.75,214.595901,52.692516,0
12025308,16.47,0.9,4.04,0.25,38,0.74,214.465179,52.690933,1
12027477,17.43,0.43,5.53,0.71,11.54,0.61,214.929871,52.77639,0
12027666,16.91,1.1,5.79,0,22.56,0.67,214.907318,52.787422,1
12028024,17.87,0.37,5.01,0.51,11.48,0.78,214.87532,52.753021,1
12028256,17.23,0.56,2.35,0.65,10.73,0.58,214.799973,52.762989,0
12028339,18.25,0.01,8.94,0.91,11.56,0.72,214.719803,52.777008,0
12028349,17.64,0.56,4.59,0.2,13.17,0.76,214.711868,52.769054,1
12028633,17.07,0.51,7.13,0.69,19.75,0.68,214.645142,52.76392,1
12028846,16.99,0.68,6.94,0.3,31.23,0.76,214.587616,52.77224,1
12029117,17.09,0.52,5.88,0.2,13.25,0.53,214.575989,52.74633,1
12101362,17.65,0.99,0.53,0.58,11.63,0.79,214.406845,52.401424,0
13003379,16.42,0.65,3.79,0.11,10.67,0.43,214.973801,52.832424,1
13003433,16.43,2,6.48,0.65,19.02,0.48,214.940918,52.797081,1
13003554,17.39,1.2,1.11,0.77,10.59,0.62,214.85675,52.827545,0
13003595,16.91,1.48,5.31,0.71,10.9,0.55,214.857285,52.799034,1
13003821,17.67,0.88,2.86,0.61,15.26,0.78,214.921204,52.832096,1
13003850,16.97,0.09,4.25,0.18,30.22,0.74,214.849075,52.814877,1
13003867,16.21,1.47,6.48,0.45,10.81,0.52,214.85878,52.799267,0
13003868,17.09,0.59,5.1,0.15,13.76,0.78,214.867813,52.798725,1
13004694,16.59,1.79,2.4,0.72,34.86,0.66,214.721695,52.815487,0
13009953,16.55,0.59,4.09,0.54,12.31,0.43,215.047043,52.874874,1
13010072,16.46,1.93,1.37,0.78,28.01,0.51,214.954727,52.876602,1
13010549,16.66,1.34,4.94,0.45,21.01,0.54,214.970581,52.853039,1
13010563,16.73,0.42,4.93,0,11.89,0.43,214.9664,52.841991,1
13010921,15.73,1.34,5.94,0.36,17.92,0.37,214.873489,52.866474,1
13011165,17.23,0.89,3.2,0.34,13.34,0.73,214.914383,52.875946,1
13011196,16.85,1.78,1,0.05,13.89,0.67,214.905228,52.850933,1
13011199,16.78,1.04,0.25,0.28,21.27,0.73,214.905716,52.84734,1
13011758,16.14,1.21,2.85,0.17,18.21,0.38,214.802719,52.891045,1
13011760,17.16,1.3,5.96,0.46,14.78,0.6,214.763397,52.886684,0
13011773,17.09,0.27,5.96,0.02,10.58,0.74,214.808975,52.876225,1
13017587,17.82,0.97,2.25,0.4,10.61,0.77,215.065613,52.94878,1
13017951,16.69,1.57,1.93,0.48,16.94,0.66,215.055954,52.901749,1
13017967,17.51,1,1.84,0.75,19.02,0.72,215.124161,52.948441,0
13018001,17.14,1.43,2.33,0.64,18.59,0.74,215.05098,52.948517,1
13018029,17.05,0.9,7.75,0.14,19.79,0.63,215.08931,52.928814,0
13018030,16.05,0.49,5.97,0.02,20.71,0.45,215.118744,52.928371,1
13018614,17.65,0.86,0.61,0.63,11.64,0.75,214.990707,52.919964,1
13018663,15.78,1.42,2.88,0.78,38.9,0.46,214.967407,52.926281,1
13019213,16.72,0.85,2.01,0.75,10.52,0.45,214.911469,52.913967,0
13019286,17.59,0.37,4.98,0.5,14.27,0.74,214.849609,52.910873,1
13019387,18.1,0.37,1.65,0.46,10.37,0.74,214.810745,52.938282,0
13019950,17.41,0.14,6.15,0.38,15.96,0.77,214.841873,52.921967,1
13019956,16.75,0.34,2.54,0.47,36.6,0.78,214.809906,52.919605,1
13019982,17.35,0.49,4.78,0.08,15.15,0.78,214.819,52.897835,1
13019984,16.54,0.3,8,0.32,10.86,0.54,214.804413,52.896217,1
13019988,16.95,1.1,6.88,0.5,29.68,0.74,214.834213,52.893806,0
13024930,17.37,0.35,7.39,0.31,12.25,0.63,215.136719,52.998558,0
