ref_id,file_id,redshift,spec_z,sep_kpc,quad_err_kpc,Re_sersic [kpc],Stellar_mass,Stellar_mass_err
BCG-1,XMM_z_1.0,0.5352355,1,3.65,0.4238388509521536,2.18,55801709864.22477,18944265433.787685
BCG-6,XMM-11,0.79,0,3.13,1.302289155731797,6.45,124650541118.74554,37390414959.5394
BCG-7,ES1-18,0.8068,1,2.84,1.116812680492254,4.98,163936609393.79666,17845950965.947147
BCG-8,CDFS-18,0.813,1,3.28,0.03447708303088786,2.44,153866102994.58603,15502624583.837631
BCG-9,XMM_z_0.9,0.84957,1,3.29,1.287915865394585,9.06,104252711156.47821,13007112267.098824
BCG-11,ES1_z_1.70,0.91651,1,3.09,0.2230286136258942,3.46,114542073153.00754,8975099517.0012
BCG-12,ES1_z_0.99b,0.91886,1,3.02,0.7448431617886034,0.0,71191488785.4581,24098692221.556194
BCG-12,ES1_z_0.99b,0.91886,1,3.02,0.7448431617886034,0.0,71191488785.4581,24098692221.556194
BCG-13,ES1_z_1.04,1.04,0,2.9,0.5347646582454133,5.85,95129746867.69086,19591033664.00207
BCG-15,ES1-25,1.08807,1,2.18,1.068496178600539,6.07,112421456312.91034,20723367404.601646
BCG-18,ES1_z_1.38,1.38,0,2.48,0.2690602387199558,3.22,123180099428.11925,11310295296.043531
BCG-19,ES1_z_1.40,1.4,0,2.78,0.3718537142791267,3.81,77812360763.90207,11211618416.909863
BCG-20,XMM-30,1.45,0,3.05,1.187951520264834,4.39,112116180231.60483,17034028633.537231
BCG-21,XMM-29,1.45,0,2.7,0.8792802470404539,4.53,140355539149.0337,12328897485.06906
BCG-22,ES1_z_1.60,1.6,0,2.62,0.4968267865489763,4.03,145380381521.0393,10473614075.726915
BCG-23,XMM-113,1.636,1,2.34,1.244587304938685,9.06,395001232526.7017,84751272276.78348
BCG-24,ES1_z_1.65,1.65,0,2.38,0.08070520580975227,2.98,279331888498.50574,25803486985.363678
