id,ref_id,file_id,RA,Dec,S/N,redshift,spec_z,SFR,SFR_err,Stellar_mass,Stellar_mass_err,sSFR,sSFR_err,sSFR_gyr,sSFR_err_gyr,Age,sSFR_MS
SpARCS_ALMA_35.65_-3.84,BCG-1,XMM_z_1.0,35.6520781,-3.8418367,7.47,0.5352355,1,65.76157755975765,22.04459125615791,55801709864.22477,18944265433.787685,1.1784867832861568e-09,5.622599831725638e-10,1.1784867832861567,0.5622599831725638,8.176024263156789,0.25549392045459757
SpARCS_ALMA_8.82_-42.69,BCG-2,ES1_z_0.88,8.8196586,-42.685469,3.63,0.56395,1,16.339344149456934,1.0178205530386866,67582200945.85928,9687966196.37158,2.417699323309481e-10,3.778875467350582e-11,0.2417699323309481,0.03778875467350582,7.983971627953276,0.26921024362518214
SpARCS_ALMA_53.48_-27.26,BCG-3,CDFS19,53.4836952,-27.2591882,3.77,0.69484,1,33.47562713841073,4.083425255108245,155570746231.115,10863996963.6061,2.1517944696800214e-10,3.024499127517568e-11,0.21517944696800215,0.030244991275175683,7.189158019436128,0.3390640012927764
SpARCS_ALMA_9.76_-44.36,BCG-4,ES1-12,9.7627,-44.3645,3.5,0.74744,1,47.81201746040792,6.006868706625548,199593563766.67194,30118220470.586884,2.3954688998038503e-10,4.703563808277735e-11,0.23954688998038504,0.04703563808277735,6.903247369606221,0.3707283417214865
SpARCS_ALMA_34.87_-4.12,BCG-5,XMM_z_0.81,34.8704822,-4.1166859,5.02,0.7827207,1,117.64145266653422,55.92607058998325,102431183938.20625,22197333385.319042,1.1484925600147694e-09,6.000372822228868e-10,1.1484925600147693,0.6000372822228868,6.721117332274802,0.3931896691423075
SpARCS_ALMA_36.1_-2.97,BCG-6,XMM-11,36.1001137,-2.9675557,5.6,0.79,0,461.3561981626865,215.94238030659494,124650541118.74554,37390414959.5394,3.701196914365465e-09,2.057603555105211e-09,3.7011969143654646,2.057603555105211,6.684458368405565,0.3979492200179917
SpARCS_ALMA_7.03_-43.34,BCG-7,ES1-18,7.0308302,-43.3448307,4.91,0.8068,1,38.21939668978035,4.054494584561154,163936609393.79666,17845950965.947147,2.331352150755569e-10,3.5436721839955683e-11,0.23313521507555693,0.035436721839955686,6.601018324228302,0.4090998154842306
SpARCS_ALMA_53.32_-26.9,BCG-8,CDFS-18,53.3197252,-26.8962108,157.48,0.813,1,23.824305543783666,4.727115047457384,153866102994.58603,15502624583.837631,1.5483790828589423e-10,3.4456266348968623e-11,0.15483790828589422,0.034456266348968624,6.570629876187196,0.4132738623535711
SpARCS_ALMA_36.12_-4.17,BCG-9,XMM_z_0.9,36.1216926,-4.1703341,5.28,0.84957,1,70.83692491356749,19.586493315574465,104252711156.47821,13007112267.098824,6.794732158787193e-10,2.0611600454288688e-10,0.6794732158787193,0.2061160045428869,6.395701934412019,0.4385501597115624
SpARCS_ALMA_8.93_-43.05,BCG-10,ES1-26,8.9283,-43.0484,3.22,0.85192,1,50.99730339366127,12.405895889079254,298894608099.6256,21883732736.184185,1.7061968336566037e-10,4.3345032667283355e-11,0.17061968336566036,0.04334503266728335,6.384707875050533,0.4402132181748973
SpARCS_ALMA_7.34_-43.45,BCG-11,ES1_z_1.70,7.3415835,-43.4451603,16.94,0.91651,1,54.777961819499836,4.75820394914866,114542073153.00754,8975099517.0012,4.782344191232366e-10,5.594521338958106e-11,0.4782344191232366,0.05594521338958106,6.093640028152317,0.4878029226897791
SpARCS_ALMA_8.68_-42.46,BCG-12,ES1_z_0.99b,8.6804446,-42.4577678,5.16,0.91886,1,36.365576791073444,11.760641931133076,71191488785.4581,24098692221.556194,5.108135454318753e-10,2.391423767420799e-10,0.5108135454318753,0.2391423767420799,6.083440874034584,0.489603943119498
