id,SFR,stellar mass,sSFR [Gyr],Re_gaussian [kpc],Re_sersic [kpc],n,z,spec_z,S/N
CDFS-18,23.8  $\pm$  4.7,15.4  $\pm$  1.6,0.2  $\pm$  0.0,0.6  $\pm$  0.1,2.44,0.5,0.81,s,157.5
CDFS19,33.5  $\pm$  4.1,15.6  $\pm$  1.1,0.2  $\pm$  0.0,0.0  $\pm$  0,0,0,0.69,s,3.8
ES1_z_0.88,16.3  $\pm$  1.0,6.8  $\pm$  1.0,0.2  $\pm$  0.0,1.0  $\pm$  0.4,0,0,0.56,s,3.6
ES1_z_0.99,152.6  $\pm$  142.8,7.5  $\pm$  1.0,2.0  $\pm$  1.9,4.0  $\pm$  0.7,6.27,1.1,1.19,s,5.7
ES1_z_0.99b,36.4  $\pm$  11.8,7.1  $\pm$  2.4,7.1  $\pm$  2.4,3.8  $\pm$  0.9,0,0,0.92,s,5.2
ES1_z_1.04,312.2  $\pm$  148.3,9.5  $\pm$  2.0,3.3  $\pm$  1.7,2.5  $\pm$  0.3,5.85,1.2,1.04,p,9.8
ES1_z_1.38,779.9  $\pm$  185.1,12.3  $\pm$  1.1,6.3  $\pm$  1.6,1.8  $\pm$  0.2,3.22,0.9,1.38,p,13.6
ES1_z_1.40,785.5  $\pm$  97.4,7.8  $\pm$  1.1,10.1  $\pm$  1.9,2.2  $\pm$  0.3,3.81,0.9,1.4,p,11.6
ES1_z_1.60,682.7  $\pm$  48.3,14.5  $\pm$  1.0,4.7  $\pm$  0.5,2.1  $\pm$  0.4,4.03,0.9,1.6,p,7.7
ES1_z_1.65,"1,306.5  $\pm$  86.6",27.9  $\pm$  2.6,4.7  $\pm$  0.5,1.7  $\pm$  0.1,2.98,2.3,1.65,p,58.7
ES1_z_1.70,54.8  $\pm$  4.8,11.5  $\pm$  0.9,0.5  $\pm$  0.1,2.1  $\pm$  0.1,3.46,0.5,0.92,s,16.9
ES1-12,47.8  $\pm$  6.0,20.0  $\pm$  3.0,0.2  $\pm$  0.0,0.0  $\pm$  0,0,0,0.75,s,3.5
ES1-18,38.2  $\pm$  4.1,16.4  $\pm$  1.8,0.2  $\pm$  0.0,2.6  $\pm$  1.0,4.98,1,0.81,s,4.9
ES1-25,35.5  $\pm$  20.2,11.2  $\pm$  2.1,0.3  $\pm$  0.2,1.4  $\pm$  1.3,6.07,0.8,1.09,s,7
ES1-26,51.0  $\pm$  12.4,29.9  $\pm$  2.2,0.2  $\pm$  0.0,0.0  $\pm$  0,0,0,0.85,s,3.2
ES1-34,269.2  $\pm$  14.9,60.7  $\pm$  7.1,0.4  $\pm$  0.1,4.7  $\pm$  1.1,6.07,1.1,1.7,p,5.3
ES1-35,435.8  $\pm$  60.3,24.6  $\pm$  3.3,1.8  $\pm$  0.3,0.0  $\pm$  0,0,0,1.7,p,2.8
XMM_z_0.9,70.8  $\pm$  19.6,10.4  $\pm$  1.3,0.7  $\pm$  0.2,4.1  $\pm$  0.7,9.06,1,0.85,s,5.3
XMM_z_0.81,117.6  $\pm$  55.9,10.2  $\pm$  2.2,1.1  $\pm$  0.6,3.1  $\pm$  0.6,0,0,0.78,s,5
XMM_z_1.0,65.8  $\pm$  22.0,5.6  $\pm$  1.9,1.2  $\pm$  0.6,1.1  $\pm$  0.4,2.18,1.8,0.54,s,7.5
XMM-11,461.4  $\pm$  215.9,12.5  $\pm$  3.7,3.7  $\pm$  2.1,4.1  $\pm$  0.7,6.45,0.3,0.79,p,5.6
XMM-19,78.4  $\pm$  3.9,8.7  $\pm$  0.5,0.9  $\pm$  0.1,0.0  $\pm$  0,0,0,1.05,s,2.9
XMM-27,154.2  $\pm$  32.6,21.4  $\pm$  2.9,0.7  $\pm$  0.2,0.0  $\pm$  0,0,0,1.38,p,3.1
XMM-29,621.2  $\pm$  37.8,14.0  $\pm$  1.2,4.4  $\pm$  0.5,2.8  $\pm$  0.7,4.53,1.3,1.45,p,6.8
XMM-30,381.7  $\pm$  50.4,11.2  $\pm$  1.7,3.4  $\pm$  0.7,2.4  $\pm$  1.1,4.39,0.4,1.45,p,6.4
XMM-113,122.2  $\pm$  90.0,39.5  $\pm$  8.5,0.3  $\pm$  0.2,5.0  $\pm$  0.9,9.06,1.4,1.6,p,6.1
